condition,layer,cv_mean,cv_std,control_cv_mean,control_cv_std
NEUTRAL,44,0.9867456316650742,0.005544253063295208,0.5241771276069981,0.024044268383778742
NEUTRAL,45,0.9867456316650742,0.005544253063295208,0.5235126794284648,0.02378356725314714
NEUTRAL,46,0.9870767574928887,0.005871356825050797,0.525171603351894,0.025459494689882768
NEUTRAL,47,0.9867461807958003,0.0050232326791364345,0.5264966557938783,0.026333270942299453
NEUTRAL,48,0.9874084324514294,0.004755317047672274,0.5241787749991762,0.02632012987807248
NEUTRAL,49,0.98774010740997,0.004266696057945791,0.5258338550075231,0.02459961146227863
NEUTRAL,50,0.9874095307128815,0.0047513348771010796,0.5301373925076603,0.025276256274223974
NEUTRAL,51,0.9860839291401712,0.004752869218588216,0.5311324173832823,0.02679169281273869
NEUTRAL,52,0.9860839291401712,0.004752869218588216,0.5261638825738855,0.022793177348698606
NEUTRAL,53,0.9857528033123566,0.004392563919843042,0.5245104499577169,0.022507951438442482
NEUTRAL,54,0.9867461807958003,0.004190198632467442,0.5208647710674004,0.02408571519256153
NEUTRAL,55,0.9854205792230898,0.00506914378418183,0.5215237279386731,0.02304336649426913
NEUTRAL,56,0.9870767574928887,0.005176652296403381,0.523514875951369,0.02253029851232211
NEUTRAL,57,0.9860822817479928,0.0057975920731004596,0.5231832009928283,0.02245596801227022
NEUTRAL,58,0.9854194809616377,0.005282805574935336,0.524176029345546,0.023011888376465867
NEUTRAL,59,0.9854194809616377,0.005282805574935336,0.5241787749991763,0.021978940428488206
NEUTRAL,60,0.9857511559201783,0.004981873199450936,0.5221898235093846,0.021779649993711226
ONLY_MOVIE,0,0.5453944406005294,0.0006285889611019767,0.5443999648556336,0.00036989977225646595
ONLY_MOVIE,1,1.0,0.0,0.4850927481796316,0.014406476633407501
ONLY_MOVIE,2,1.0,0.0,0.4946926515326239,0.01654199443211058
ONLY_MOVIE,3,1.0,0.0,0.4989972872942133,0.01576436569303857
ONLY_MOVIE,4,1.0,0.0,0.49369707752627595,0.0161467620055777
ONLY_MOVIE,5,1.0,0.0,0.5053007588986633,0.010225123420857539
ONLY_MOVIE,6,1.0,0.0,0.5059630105542926,0.01383903306051838
ONLY_MOVIE,7,1.0,0.0,0.5082869317869811,0.01090355280543373
ONLY_MOVIE,8,1.0,0.0,0.5049657891557664,0.018432387631066062
ONLY_MOVIE,9,1.0,0.0,0.5052980132450331,0.013494708171801968
ONLY_MOVIE,10,1.0,0.0,0.49701437624240824,0.01160782977591833
ONLY_MOVIE,11,1.0,0.0,0.49999560695419154,0.009679037526848582
ONLY_MOVIE,12,1.0,0.0,0.49966612851855513,0.010007000373804026
ONLY_MOVIE,13,1.0,0.0,0.4986700053814811,0.014398669490310831
ONLY_MOVIE,14,1.0,0.0,0.5009889844376352,0.015677011948239113
ONLY_MOVIE,15,1.0,0.0,0.5023140368796195,0.016845440686376018
ONLY_MOVIE,16,1.0,0.0,0.4993333552985623,0.015571282146970273
ONLY_MOVIE,17,1.0,0.0,0.49469045500971964,0.020458548664477837
ONLY_MOVIE,18,1.0,0.0,0.4960188022360604,0.01510036700146274
ONLY_MOVIE,19,1.0,0.0,0.4927004052584758,0.01930241701772523
ONLY_MOVIE,20,1.0,0.0,0.49701217971950407,0.017952930663348562
ONLY_MOVIE,21,1.0,0.0,0.5069569371684624,0.013719911616531428
ONLY_MOVIE,22,1.0,0.0,0.5039713134108706,0.01989694061850308
ONLY_MOVIE,23,1.0,0.0,0.497672783982955,0.012978834598319946
ONLY_MOVIE,24,1.0,0.0,0.49899948381711745,0.012327346691197233
ONLY_MOVIE,25,1.0,0.0,0.5009851405225528,0.011207758845332337
ONLY_MOVIE,26,1.0,0.0,0.4989989346863915,0.014127837057063367
ONLY_MOVIE,27,1.0,0.0,0.5046330159357736,0.008959217084618587
ONLY_MOVIE,28,1.0,0.0,0.5033030213172548,0.015499586289504444
ONLY_MOVIE,29,1.0,0.0,0.498334486507858,0.016046964183840877
ONLY_MOVIE,30,1.0,0.0,0.4983383304229405,0.010310284285229811
ONLY_MOVIE,31,1.0,0.0,0.49933610095219266,0.01145256757873126
ONLY_MOVIE,32,1.0,0.0,0.49933060964493203,0.012420265711126458
ONLY_MOVIE,33,1.0,0.0,0.5076158940397351,0.012393568376526333
ONLY_MOVIE,34,1.0,0.0,0.501983460182531,0.01465924334975052
ONLY_MOVIE,35,1.0,0.0,0.5016473921781819,0.017657521742197306
ONLY_MOVIE,36,1.0,0.0,0.506954191514832,0.013791532416412566
ONLY_MOVIE,37,1.0,0.0,0.5039718625415966,0.011780908539764032
ONLY_MOVIE,38,1.0,0.0,0.5062880959441205,0.019921491628255128
ONLY_MOVIE,39,1.0,0.0,0.5042991444543288,0.018937285340541996
ONLY_MOVIE,40,1.0,0.0,0.5046286228899652,0.0191813911266916
ONLY_MOVIE,41,1.0,0.0,0.5019774197445444,0.02034837677677416
ONLY_MOVIE,42,1.0,0.0,0.5069525441226539,0.01852431745761625
ONLY_MOVIE,43,1.0,0.0,0.5102643515315256,0.014365451400468165
ONLY_MOVIE,44,1.0,0.0,0.5043051848923155,0.016609695238313724
ONLY_MOVIE,45,1.0,0.0,0.5039658221036099,0.021730365544406372
ONLY_MOVIE,46,0.9993371992136447,0.0008117623281792342,0.5046302702821432,0.024341338054050796
ONLY_MOVIE,47,1.0,0.0,0.5062875468133944,0.024422222426899357
ONLY_MOVIE,48,0.9996683250414593,0.0006633499170812573,0.5036368927986996,0.01727370872144037
ONLY_MOVIE,49,1.0,0.0,0.5016556291390728,0.018456782668256306
